param,value,unit,lower,upper,city,latitude,longitude
"Meal, Inexpensive Restaurant",11.0,€,10,30,Zambrone,38.69918,15.990094
"Meal for 2 People, Mid-range Restaurant, Three-course",65.0,€,60,70,Zambrone,38.69918,15.990094
McMeal at McDonalds (or Equivalent Combo Meal),11.75,€,8.5,15,Zambrone,38.69918,15.990094
Domestic Beer (1 pint draught),3.5,€,3.5,10,Zambrone,38.69918,15.990094
Imported Beer (12 oz small bottle),4.5,€,3,6,Zambrone,38.69918,15.990094
Cappuccino (regular),2.27,€,1.2,3.5,Zambrone,38.69918,15.990094
Coke/Pepsi (12 oz small bottle),1.5,€,1.5,1.5,Zambrone,38.69918,15.990094
Water (12 oz small bottle),1.0,€,1,1,Zambrone,38.69918,15.990094
"Milk (regular), (1 gallon)",3.45,€,2.65,7.53,Zambrone,38.69918,15.990094
Loaf of Fresh White Bread (1 lb),1.96,€,0.59,2.72,Zambrone,38.69918,15.990094
"Rice (white), (1 lb)",1.19,€,0.82,1.29,Zambrone,38.69918,15.990094
Eggs (regular) (12),2.7,€,1.2,3.3,Zambrone,38.69918,15.990094
Local Cheese (1 lb),4.65,€,3.63,8.16,Zambrone,38.69918,15.990094
Chicken Fillets (1 lb),3.58,€,2.72,6.8,Zambrone,38.69918,15.990094
Beef Round (1 lb) (or Equivalent Back Leg Red Meat),6.2,€,5.9,6.8,Zambrone,38.69918,15.990094
Apples (1 lb),0.83,€,0.68,1.36,Zambrone,38.69918,15.990094
Banana (1 lb),0.6,€,0.45,1.13,Zambrone,38.69918,15.990094
Oranges (1 lb),0.68,€,0.27,1.13,Zambrone,38.69918,15.990094
Tomato (1 lb),0.93,€,0.5,1.36,Zambrone,38.69918,15.990094
Potato (1 lb),0.66,€,0.43,0.86,Zambrone,38.69918,15.990094
Onion (1 lb),0.65,€,0.43,0.82,Zambrone,38.69918,15.990094
Lettuce (1 head),1.2,€,1,1.8,Zambrone,38.69918,15.990094
Water (1.5 liter bottle),0.55,€,0.19,1.19,Zambrone,38.69918,15.990094
Bottle of Wine (Mid-Range),6.5,€,5,18,Zambrone,38.69918,15.990094
Domestic Beer (0.5 liter bottle),0.9,€,0.9,0.9,Zambrone,38.69918,15.990094
Imported Beer (12 oz small bottle),2.25,€,1.25,3.5,Zambrone,38.69918,15.990094
Cigarettes 20 Pack (Marlboro),6.0,€,6,6,Zambrone,38.69918,15.990094
Taxi Start (Normal Tariff),10.0,€,10,10,Zambrone,38.69918,15.990094
Gasoline (1 gallon),7.69,€,5.91,8.3,Zambrone,38.69918,15.990094
Volkswagen Golf 1.4 90 KW Trendline (Or Equivalent New Car),21000.0,€,"21,000.00","21,000.00",Zambrone,38.69918,15.990094
Toyota Corolla Sedan 1.6l 97kW Comfort (Or Equivalent New Car),19000.0,€,"19,000.00","19,000.00",Zambrone,38.69918,15.990094
"Basic (Electricity, Heating, Cooling, Water, Garbage) for 915 sq ft Apartment",210.0,€,120,300,Zambrone,38.69918,15.990094
Mobile Phone Monthly Plan with Calls and 10GB+ Data,12.0,€,12,12,Zambrone,38.69918,15.990094
"Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)",24.97,€,19.9,30,Zambrone,38.69918,15.990094
"Cinema, International Release, 1 Seat",8.5,€,6,9,Zambrone,38.69918,15.990094
"Preschool (or Kindergarten), Full Day, Private, Monthly for 1 Child",232.22,€,150,380,Zambrone,38.69918,15.990094
1 Pair of Jeans (Levis 501 Or Similar),120.0,€,60,200,Zambrone,38.69918,15.990094
"1 Summer Dress in a Chain Store (Zara, H&M, ...)",25.0,€,20,30,Zambrone,38.69918,15.990094
1 Pair of Nike Running Shoes (Mid-Range),115.0,€,70,175,Zambrone,38.69918,15.990094
1 Pair of Men Leather Business Shoes,120.0,€,100,150,Zambrone,38.69918,15.990094
Average Monthly Net Salary (After Tax),1150.0,€,,,Zambrone,38.69918,15.990094
"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",3.0,,2,4.9,Zambrone,38.69918,15.990094
"Meal, Inexpensive Restaurant",12.0,€,9,20,Voghera,44.9926704,9.0086667
"Meal for 2 People, Mid-range Restaurant, Three-course",55.0,€,40,70,Voghera,44.9926704,9.0086667
McMeal at McDonalds (or Equivalent Combo Meal),8.0,€,8,10,Voghera,44.9926704,9.0086667
Domestic Beer (1 pint draught),5.0,€,3,5,Voghera,44.9926704,9.0086667
Imported Beer (12 oz small bottle),3.5,€,2,5,Voghera,44.9926704,9.0086667
Cappuccino (regular),1.75,€,1,2,Voghera,44.9926704,9.0086667
Coke/Pepsi (12 oz small bottle),2.12,€,1,3,Voghera,44.9926704,9.0086667
Water (12 oz small bottle),1.05,€,1,2,Voghera,44.9926704,9.0086667
"Milk (regular), (1 gallon)",4.16,€,3.48,5.15,Voghera,44.9926704,9.0086667
Loaf of Fresh White Bread (1 lb),1.43,€,0.45,1.86,Voghera,44.9926704,9.0086667
"Rice (white), (1 lb)",0.95,€,0.63,1.5,Voghera,44.9926704,9.0086667
Eggs (regular) (12),2.76,€,2.04,3,Voghera,44.9926704,9.0086667
Local Cheese (1 lb),6.75,€,4.04,11.79,Voghera,44.9926704,9.0086667
Chicken Fillets (1 lb),4.18,€,1.54,4.94,Voghera,44.9926704,9.0086667
Beef Round (1 lb) (or Equivalent Back Leg Red Meat),6.55,€,5.58,11.34,Voghera,44.9926704,9.0086667
Apples (1 lb),0.92,€,0.45,1.13,Voghera,44.9926704,9.0086667
Banana (1 lb),0.91,€,0.45,0.91,Voghera,44.9926704,9.0086667
Oranges (1 lb),0.91,€,0.45,1.36,Voghera,44.9926704,9.0086667
