param,value,city,latitude,longitude
Purchasing Power Index,,Viterbo,42.49368885,11.945067829807687
Safety Index,66.91,Viterbo,42.49368885,11.945067829807687
Health Care Index,41.67,Viterbo,42.49368885,11.945067829807687
Climate Index,,Viterbo,42.49368885,11.945067829807687
Cost of Living Index,,Viterbo,42.49368885,11.945067829807687
Property Price to Income Ratio,5.49,Viterbo,42.49368885,11.945067829807687
Traffic Commute Time Index,40.0,Viterbo,42.49368885,11.945067829807687
Pollution Index,51.15,Viterbo,42.49368885,11.945067829807687
 Quality of Life Index,,Viterbo,42.49368885,11.945067829807687
Purchasing Power Index,61.76,Vicenza,45.63485905,11.40635425660249
Safety Index,58.98,Vicenza,45.63485905,11.40635425660249
Health Care Index,78.18,Vicenza,45.63485905,11.40635425660249
Climate Index,,Vicenza,45.63485905,11.40635425660249
Cost of Living Index,64.85,Vicenza,45.63485905,11.40635425660249
Property Price to Income Ratio,6.84,Vicenza,45.63485905,11.40635425660249
Traffic Commute Time Index,29.12,Vicenza,45.63485905,11.40635425660249
Pollution Index,60.54,Vicenza,45.63485905,11.40635425660249
 Quality of Life Index,,Vicenza,45.63485905,11.40635425660249
Purchasing Power Index,64.28,Verona,45.4384958,10.9924122
Safety Index,68.55,Verona,45.4384958,10.9924122
Health Care Index,68.79,Verona,45.4384958,10.9924122
Climate Index,87.02,Verona,45.4384958,10.9924122
Cost of Living Index,60.39,Verona,45.4384958,10.9924122
Property Price to Income Ratio,12.74,Verona,45.4384958,10.9924122
Traffic Commute Time Index,27.67,Verona,45.4384958,10.9924122
Pollution Index,58.3,Verona,45.4384958,10.9924122
 Quality of Life Index,145.03,Verona,45.4384958,10.9924122
Purchasing Power Index,,Ventimiglia,43.7917623,7.6033131
Safety Index,44.25,Ventimiglia,43.7917623,7.6033131
Health Care Index,47.22,Ventimiglia,43.7917623,7.6033131
Climate Index,94.92,Ventimiglia,43.7917623,7.6033131
Cost of Living Index,,Ventimiglia,43.7917623,7.6033131
Property Price to Income Ratio,6.77,Ventimiglia,43.7917623,7.6033131
Traffic Commute Time Index,31.0,Ventimiglia,43.7917623,7.6033131
Pollution Index,65.52,Ventimiglia,43.7917623,7.6033131
 Quality of Life Index,,Ventimiglia,43.7917623,7.6033131
Purchasing Power Index,56.31,Venice,45.4371908,12.3345898
Safety Index,68.57,Venice,45.4371908,12.3345898
Health Care Index,66.74,Venice,45.4371908,12.3345898
Climate Index,82.39,Venice,45.4371908,12.3345898
Cost of Living Index,66.35,Venice,45.4371908,12.3345898
Property Price to Income Ratio,10.7,Venice,45.4371908,12.3345898
Traffic Commute Time Index,40.0,Venice,45.4371908,12.3345898
Pollution Index,65.41,Venice,45.4371908,12.3345898
 Quality of Life Index,130.03,Venice,45.4371908,12.3345898
Purchasing Power Index,67.15,Varese,45.839720299999996,8.754133838056571
Safety Index,54.09,Varese,45.839720299999996,8.754133838056571
Health Care Index,55.32,Varese,45.839720299999996,8.754133838056571
Climate Index,84.67,Varese,45.839720299999996,8.754133838056571
Cost of Living Index,60.28,Varese,45.839720299999996,8.754133838056571
Property Price to Income Ratio,7.7,Varese,45.839720299999996,8.754133838056571
Traffic Commute Time Index,31.88,Varese,45.839720299999996,8.754133838056571
Pollution Index,54.99,Varese,45.839720299999996,8.754133838056571
 Quality of Life Index,137.94,Varese,45.839720299999996,8.754133838056571
Purchasing Power Index,70.58,Udine,46.0634632,13.2358377
Safety Index,62.82,Udine,46.0634632,13.2358377
Health Care Index,65.56,Udine,46.0634632,13.2358377
Climate Index,88.62,Udine,46.0634632,13.2358377
Cost of Living Index,56.76,Udine,46.0634632,13.2358377
Property Price to Income Ratio,4.74,Udine,46.0634632,13.2358377
Traffic Commute Time Index,22.43,Udine,46.0634632,13.2358377
Pollution Index,38.41,Udine,46.0634632,13.2358377
 Quality of Life Index,168.17,Udine,46.0634632,13.2358377
Purchasing Power Index,65.17,Turin,45.0677551,7.6824892
Safety Index,47.76,Turin,45.0677551,7.6824892
Health Care Index,66.36,Turin,45.0677551,7.6824892
Climate Index,85.66,Turin,45.0677551,7.6824892
Cost of Living Index,60.6,Turin,45.0677551,7.6824892
Property Price to Income Ratio,8.29,Turin,45.0677551,7.6824892
Traffic Commute Time Index,27.94,Turin,45.0677551,7.6824892
Pollution Index,68.68,Turin,45.0677551,7.6824892
 Quality of Life Index,130.94,Turin,45.0677551,7.6824892
Purchasing Power Index,62.28,Trieste,45.6496485,13.7772781
Safety Index,72.83,Trieste,45.6496485,13.7772781
Health Care Index,68.39,Trieste,45.6496485,13.7772781
Climate Index,92.64,Trieste,45.6496485,13.7772781
Cost of Living Index,65.74,Trieste,45.6496485,13.7772781
Property Price to Income Ratio,5.7,Trieste,45.6496485,13.7772781
Traffic Commute Time Index,28.79,Trieste,45.6496485,13.7772781
Pollution Index,47.6,Trieste,45.6496485,13.7772781
 Quality of Life Index,161.16,Trieste,45.6496485,13.7772781
Purchasing Power Index,60.81,Treviso,45.806691349999994,12.206315763116372
Safety Index,75.9,Treviso,45.806691349999994,12.206315763116372
Health Care Index,75.23,Treviso,45.806691349999994,12.206315763116372
Climate Index,89.73,Treviso,45.806691349999994,12.206315763116372
Cost of Living Index,61.69,Treviso,45.806691349999994,12.206315763116372
Property Price to Income Ratio,8.58,Treviso,45.806691349999994,12.206315763116372
Traffic Commute Time Index,35.56,Treviso,45.806691349999994,12.206315763116372
Pollution Index,49.24,Treviso,45.806691349999994,12.206315763116372
 Quality of Life Index,156.93,Treviso,45.806691349999994,12.206315763116372
Purchasing Power Index,60.81,Trento,46.1029536,11.12974249416882
Safety Index,70.74,Trento,46.1029536,11.12974249416882
Health Care Index,74.4,Trento,46.1029536,11.12974249416882
Climate Index,80.86,Trento,46.1029536,11.12974249416882
Cost of Living Index,63.94,Trento,46.1029536,11.12974249416882
Property Price to Income Ratio,12.95,Trento,46.1029536,11.12974249416882
Traffic Commute Time Index,30.5,Trento,46.1029536,11.12974249416882
Pollution Index,12.75,Trento,46.1029536,11.12974249416882
 Quality of Life Index,173.31,Trento,46.1029536,11.12974249416882
Purchasing Power Index,,Siracusa,37.0646139,15.2907196
Safety Index,50.27,Siracusa,37.0646139,15.2907196
Health Care Index,38.89,Siracusa,37.0646139,15.2907196
Climate Index,96.89,Siracusa,37.0646139,15.2907196
Cost of Living Index,,Siracusa,37.0646139,15.2907196
Property Price to Income Ratio,15.25,Siracusa,37.0646139,15.2907196
Traffic Commute Time Index,60.0,Siracusa,37.0646139,15.2907196
Pollution Index,69.2,Siracusa,37.0646139,15.2907196
 Quality of Life Index,,Siracusa,37.0646139,15.2907196
Purchasing Power Index,,Siena,43.1672254,11.467181161339118
Safety Index,70.44,Siena,43.1672254,11.467181161339118
Health Care Index,62.31,Siena,43.1672254,11.467181161339118
