city,salary,members,basketConsPlusRent,LocalPuchasingPowerIndex,QualityIndex
Verona,1000.0,1,7431.9,1.6,173.1
Verona,1300.0,1,7431.9,2.1,189.3
Verona,1500.0,1,7431.9,2.5,200.1
Verona,1748.2,1,7431.9,2.9,213.4
Verona,1800.0,1,7431.9,3.0,216.2
Verona,2000.0,1,7431.9,3.3,227.0
Verona,2500.0,1,7431.9,4.1,253.9
Verona,3000.0,1,7431.9,4.9,280.8
Verona,3500.0,1,7431.9,5.8,307.7
Verona,1000.0,2,14590.2,0.8,146.7
Verona,1300.0,2,14590.2,1.1,155.0
Verona,1500.0,2,14590.2,1.3,160.4
Verona,1748.2,2,14590.2,1.5,167.2
Verona,1800.0,2,14590.2,1.5,168.7
Verona,2000.0,2,14590.2,1.7,174.1
Verona,2500.0,2,14590.2,2.1,187.9
Verona,3000.0,2,14590.2,2.5,201.6
Verona,3500.0,2,14590.2,2.9,215.3
Verona,1000.0,3,21669.5,0.6,137.8
Verona,1300.0,3,21669.5,0.7,143.3
Verona,1500.0,3,21669.5,0.8,147.0
Verona,1748.2,3,21669.5,1.0,151.6
Verona,1800.0,3,21669.5,1.0,152.5
Verona,2000.0,3,21669.5,1.1,156.2
Verona,2500.0,3,21669.5,1.4,165.5
Verona,3000.0,3,21669.5,1.7,174.7
Verona,3500.0,3,21669.5,2.0,183.9
Verona,1000.0,4,28425.3,0.4,133.4
Verona,1300.0,4,28425.3,0.6,137.6
Verona,1500.0,4,28425.3,0.6,140.4
Verona,1748.2,4,28425.3,0.8,143.9
Verona,1800.0,4,28425.3,0.8,144.6
Verona,2000.0,4,28425.3,0.9,147.5
Verona,2500.0,4,28425.3,1.1,154.5
Verona,3000.0,4,28425.3,1.3,161.5
Verona,3500.0,4,28425.3,1.5,168.6
Venice,1000.0,1,7271.8,1.7,162.5
Venice,1300.0,1,7271.8,2.2,179.0
Venice,1500.0,1,7271.8,2.5,190.0
Venice,1748.2,1,7271.8,2.9,203.7
Venice,1800.0,1,7271.8,3.0,206.5
Venice,2000.0,1,7271.8,3.4,217.5
Venice,2500.0,1,7271.8,4.2,245.0
Venice,3000.0,1,7271.8,5.0,272.5
Venice,3500.0,1,7271.8,5.9,300.0
Venice,1000.0,2,14267.8,0.9,135.5
Venice,1300.0,2,14267.8,1.1,143.9
Venice,1500.0,2,14267.8,1.3,149.6
Venice,1748.2,2,14267.8,1.5,156.5
Venice,1800.0,2,14267.8,1.5,158.0
Venice,2000.0,2,14267.8,1.7,163.6
Venice,2500.0,2,14267.8,2.1,177.6
Venice,3000.0,2,14267.8,2.6,191.6
Venice,3500.0,2,14267.8,3.0,205.6
Venice,1000.0,3,21188.6,0.6,126.4
Venice,1300.0,3,21188.6,0.7,132.0
Venice,1500.0,3,21188.6,0.9,135.8
Venice,1748.2,3,21188.6,1.0,140.5
Venice,1800.0,3,21188.6,1.0,141.5
Venice,2000.0,3,21188.6,1.2,145.3
Venice,2500.0,3,21188.6,1.4,154.7
Venice,3000.0,3,21188.6,1.7,164.1
Venice,3500.0,3,21188.6,2.0,173.6
Venice,1000.0,4,27769.2,0.4,121.9
Venice,1300.0,4,27769.2,0.6,126.2
Venice,1500.0,4,27769.2,0.7,129.1
Venice,1748.2,4,27769.2,0.8,132.7
Venice,1800.0,4,27769.2,0.8,133.4
Venice,2000.0,4,27769.2,0.9,136.3
Venice,2500.0,4,27769.2,1.1,143.5
Venice,3000.0,4,27769.2,1.3,150.7
Venice,3500.0,4,27769.2,1.5,157.9
Varese,1000.0,1,8013.1,1.5,161.0
Varese,1300.0,1,8013.1,2.0,176.0
Varese,1500.0,1,8013.1,2.3,185.9
Varese,1748.2,1,8013.1,2.7,198.3
Varese,1800.0,1,8013.1,2.7,200.9
Varese,2000.0,1,8013.1,3.0,210.9
Varese,2500.0,1,8013.1,3.8,235.9
Varese,3000.0,1,8013.1,4.6,260.8
Varese,3500.0,1,8013.1,5.3,285.8
Varese,1000.0,2,15746.5,0.8,136.5
Varese,1300.0,2,15746.5,1.0,144.1
Varese,1500.0,2,15746.5,1.2,149.2
Varese,1748.2,2,15746.5,1.4,155.5
Varese,1800.0,2,15746.5,1.4,156.8
Varese,2000.0,2,15746.5,1.6,161.9
Varese,2500.0,2,15746.5,1.9,174.6
Varese,3000.0,2,15746.5,2.3,187.3
Varese,3500.0,2,15746.5,2.7,200.0
Varese,1000.0,3,23390.1,0.5,128.2
Varese,1300.0,3,23390.1,0.7,133.3
Varese,1500.0,3,23390.1,0.8,136.7
Varese,1748.2,3,23390.1,0.9,141.0
